2024-11-15 11:12:37,751:INFO:Determined expected graph feature length: 874
2024-11-15 11:12:37,759:INFO:Loaded graph features from ./graph_feature/reentrancy/reentrancy_final_train.txt.
2024-11-15 11:12:37,765:INFO:Loaded graph features from ./graph_feature/reentrancy/reentrancy_final_valid.txt.
2024-11-15 11:12:37,769:INFO:Loaded labels from ./graph_feature/reentrancy/label_by_experts_train.txt.
2024-11-15 11:12:37,773:INFO:Loaded labels from ./graph_feature/reentrancy/label_by_experts_valid.txt.
2024-11-15 11:12:37,953:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g4_44.txt: could not convert string '-0.080249 0.041482 -0.056070 -0.141108 0.183027 -0.069523 0.104803 0.140346 0.022386 0.128872 -0.00 to float64 at row 0, column 1.
2024-11-15 11:12:37,960:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g4_4588.txt: could not convert string '-0.031149 0.348707 0.152082 -0.171537 -0.088403 -0.187350 -0.274510 0.003018 -0.220344 0.311439 -0. to float64 at row 0, column 1.
2024-11-15 11:12:37,967:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g4_2688.txt: could not convert string '-0.036099 0.097048 -0.233718 0.030035 0.057091 -0.342938 -0.190067 0.157775 0.033940 -0.098114 0.25 to float64 at row 0, column 1.
2024-11-15 11:12:37,974:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g3_7003.txt: could not convert string '0.038126 0.229369 0.138876 0.384305 -0.336900 -0.197653 -0.196711 -0.071398 0.035880 0.075011 0.314 to float64 at row 0, column 1.
2024-11-15 11:12:37,981:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g1_6603.txt: could not convert string '0.050362 0.045937 -0.025456 0.164153 0.195248 -0.199217 -0.118767 0.106624 0.263158 -0.162912 -0.22 to float64 at row 0, column 1.
2024-11-15 11:12:37,987:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g3_50063.txt: could not convert string '0.080513 0.237296 0.305765 -0.288486 0.208885 -0.191240 0.082138 -0.067591 0.195053 -0.273374 -0.10 to float64 at row 0, column 1.
2024-11-15 11:12:37,999:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g1_17829.txt: could not convert string '0.037798 -0.067231 0.013671 0.073023 0.130732 -0.165815 -0.057648 -0.142124 0.216250 0.110929 0.033 to float64 at row 0, column 1.
2024-11-15 11:12:38,006:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g2_14381.txt: could not convert string '-0.018831 0.084391 0.154501 0.001183 0.157540 0.043656 0.180739 0.102535 0.161583 -0.326858 -0.0147 to float64 at row 0, column 1.
2024-11-15 11:12:38,013:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g2_136.txt: could not convert string '-0.041610 0.271880 -0.166340 -0.084443 0.101761 0.178886 0.131782 -0.118345 0.059732 0.389385 -0.11 to float64 at row 0, column 1.
2024-11-15 11:12:38,021:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g4_40737.txt: could not convert string '0.413043 0.334856 -0.275853 0.083940 -0.022723 0.123403 -0.034927 0.088095 -0.107897 -0.238695 0.04 to float64 at row 0, column 1.
2024-11-15 11:12:38,028:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g2_339.txt: could not convert string '0.086384 -0.294705 -0.017094 -0.284005 0.273220 0.090237 0.256593 -0.277512 0.063274 -0.183481 -0.2 to float64 at row 0, column 1.
2024-11-15 11:12:38,036:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g1_35951.txt: could not convert string '0.629380 0.252315 0.136021 0.098892 -0.442810 0.388250 0.114301 -0.496055 0.221455 -0.105300 -0.585 to float64 at row 0, column 1.
2024-11-15 11:12:38,044:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g3_37.txt: could not convert string '0.178355 -0.331475 0.342410 -0.012682 0.176103 0.112932 0.091173 0.065814 -0.537720 0.225621 0.0672 to float64 at row 0, column 1.
2024-11-15 11:12:38,051:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g1_26188.txt: could not convert string '-0.105233 0.278112 -0.013429 -0.174719 0.310772 -0.180157 0.078782 0.202773 -0.003454 -0.053952 -0. to float64 at row 0, column 1.
2024-11-15 11:12:38,057:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g4_6929.txt: could not convert string '-0.138915 -0.282805 0.239715 0.138762 -0.171878 0.226365 -0.113982 0.168940 -0.047214 -0.116902 0.1 to float64 at row 0, column 1.
2024-11-15 11:12:38,064:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g1_40782.txt: could not convert string '-0.192552 -0.118687 -0.339503 -0.048268 0.001137 -0.403802 0.284858 0.082639 -0.092588 -0.037527 -0 to float64 at row 0, column 1.
2024-11-15 11:12:38,070:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g1_37891.txt: could not convert string '-0.249025 -0.292533 -0.319766 0.242958 -0.247964 0.019536 0.278403 -0.160904 -0.037409 -0.246453 0. to float64 at row 0, column 1.
2024-11-15 11:12:38,078:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g3_57.txt: could not convert string '-0.013710 0.166384 0.071600 -0.174161 -0.392437 0.216037 0.272235 0.244606 0.339498 0.050629 -0.278 to float64 at row 0, column 1.
2024-11-15 11:12:38,085:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g3_9.txt: could not convert string '0.090889 -0.330143 -0.004632 0.110412 0.200694 0.411119 0.405052 0.364601 -0.124823 0.447104 -0.028 to float64 at row 0, column 1.
2024-11-15 11:12:38,091:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g1_29948.txt: could not convert string '-0.153121 -0.273035 -0.300749 0.169368 -0.491173 0.423548 -0.004780 0.283255 -0.088616 -0.104331 0. to float64 at row 0, column 1.
2024-11-15 11:12:38,097:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g3_35.txt: could not convert string '0.026152 -0.155499 -0.172057 -0.077869 0.006582 -0.034252 -0.224945 0.062383 0.024220 -0.113348 -0. to float64 at row 0, column 1.
2024-11-15 11:12:38,104:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g4_4523.txt: could not convert string '0.096935 0.262551 -0.170916 0.156366 0.038227 -0.297829 -0.390782 0.198725 -0.103197 -0.094773 -0.2 to float64 at row 0, column 1.
2024-11-15 11:12:38,111:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g2_134.txt: could not convert string '0.021592 -0.067611 -0.338384 -0.082079 0.094000 -0.251265 -0.145310 0.097434 0.027308 -0.010400 -0. to float64 at row 0, column 1.
2024-11-15 11:12:38,117:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g4_1181.txt: could not convert string '-0.145209 -0.060043 -0.028974 -0.088054 0.112611 -0.039040 0.067290 -0.071435 -0.025006 -0.040505 0 to float64 at row 0, column 1.
2024-11-15 11:12:38,124:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g3_16372.txt: could not convert string '0.052788 -0.155062 -0.144198 0.260564 -0.178040 -0.105822 0.062989 0.164416 -0.289500 0.226590 0.13 to float64 at row 0, column 1.
2024-11-15 11:12:38,130:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g2_419.txt: could not convert string '0.091735 0.140912 0.054727 0.071642 0.006099 0.201328 -0.119059 0.231509 0.238949 -0.001572 -0.0453 to float64 at row 0, column 1.
2024-11-15 11:12:38,138:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g2_14353.txt: could not convert string '-0.423034 0.185137 0.347444 -0.114679 0.018110 0.277948 -0.286295 -0.182540 -0.285676 0.050156 0.03 to float64 at row 0, column 1.
2024-11-15 11:12:38,145:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g2_24161.txt: could not convert string '-0.220632 -0.209791 0.427715 -0.166304 0.156553 0.058164 -0.000760 -0.092342 -0.015270 0.080212 -0. to float64 at row 0, column 1.
2024-11-15 11:12:38,158:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g4_10855.txt: could not convert string '0.364040 0.113487 0.052823 -0.129904 -0.051481 -0.025661 0.072622 0.215013 -0.064636 -0.227966 0.03 to float64 at row 0, column 1.
